,Time,Yaw Rate,Acceleration Y,Yaw Angular Acceleration,Acceleration X
227,1.323045,0.16,-0.022167600000000003,1.75,-0.0742742
228,1.3282,0.165,-0.020893600000000002,1.75,-0.0741468
229,1.333035,0.17,-0.0196196,1.125,-0.0741468
230,1.33804,0.17500000000000002,-0.019110000000000002,1.125,-0.0741468
231,1.343035,0.17,-0.018855200000000003,0.0,-0.0744016
232,1.34815,0.16,-0.019110000000000002,-1.75,-0.0747838
233,1.353045,0.15,-0.0192374,-2.25,-0.07516600000000001
234,1.35804,0.13,-0.0194922,-2.875,-0.07529340000000001
235,1.363035,0.12,-0.019747,-2.875,-0.07503860000000001
236,1.368155,0.11,-0.0200018,-2.25,-0.074529
237,1.37307,0.11,-0.020384,-1.125,-0.0736372
238,1.378045,0.125,-0.020893600000000002,1.75,-0.072618
239,1.383045,0.155,-0.021658,4.625,-0.0715988
240,1.38815,0.17500000000000002,-0.022167600000000003,5.125,-0.0705796
241,1.39304,0.2,-0.0226772,4.625,-0.0703248
242,1.398155,0.21,-0.0228046,3.375,-0.0703248
243,1.403035,0.225,-0.022549800000000002,2.25,-0.0705796
244,1.408145,0.23,-0.022295000000000002,1.75,-0.0709618
245,1.413045,0.23500000000000001,-0.022040200000000003,1.125,-0.0709618
246,1.418045,0.23500000000000001,-0.0217854,0.625,-0.0705796
247,1.42304,0.225,-0.0217854,-1.125,-0.07019740000000001
248,1.42815,0.21,-0.0219128,-2.25,-0.06956040000000001
249,1.433035,0.195,-0.022167600000000003,-2.875,-0.06917820000000001
250,1.438045,0.185,-0.022549800000000002,-2.875,-0.06905080000000001
251,1.44304,0.17500000000000002,-0.0228046,-1.75,-0.06943300000000001
252,1.44815,0.185,-0.022932,0.0,-0.07019740000000001
253,1.453035,0.185,-0.022932,0.625,-0.071344
254,1.45804,0.17500000000000002,-0.0228046,-0.625,-0.0724906
255,1.46314,0.165,-0.0226772,-1.75,-0.0730002
256,1.46815,0.145,-0.022295000000000002,-3.375,-0.0731276
257,1.473045,0.115,-0.0217854,-5.125,-0.0728728
258,1.478045,0.09,-0.0211484,-5.125,-0.0722358
259,1.48304,0.08,-0.020638800000000002,-3.375,-0.071981
260,1.488145,0.08,-0.0202566,-1.125,-0.071981
261,1.49304,0.09,-0.0202566,1.125,-0.0724906
262,1.498045,0.105,-0.020511400000000003,2.25,-0.0730002
263,1.50316,0.11,-0.0211484,1.75,-0.073892
264,1.50826,0.105,-0.0219128,0.0,-0.0746564
265,1.51304,0.09,-0.0226772,-1.75,-0.07516600000000001
266,1.518045,0.075,-0.0230594,-2.875,-0.07516600000000001
267,1.52304,0.065,-0.0231868,-2.875,-0.0746564
268,1.52815,0.065,-0.022932,-1.125,-0.0741468
269,1.533045,0.075,-0.022295000000000002,1.125,-0.0736372
270,1.53804,0.085,-0.022040200000000003,2.25,-0.0733824
271,1.54304,0.095,-0.0217854,2.25,-0.0735098
272,1.54815,0.11,-0.0217854,2.25,-0.0736372
273,1.55304,0.12,-0.0217854,2.25,-0.0737646
274,1.558045,0.125,-0.0212758,1.75,-0.073892
275,1.56305,0.13,-0.020511400000000003,1.125,-0.0737646
276,1.56815,0.13,-0.0201292,0.625,-0.073892
277,1.57304,0.12,-0.0200018,-1.125,-0.0741468
278,1.578045,0.11,-0.020384,-2.25,-0.0742742
279,1.58304,0.11,-0.0212758,-1.125,-0.0742742
280,1.58815,0.115,-0.022295000000000002,0.625,-0.0741468
281,1.593045,0.13,-0.0234416,2.25,-0.0735098
282,1.598045,0.15,-0.023951200000000002,3.375,-0.0728728
283,1.60304,0.165,-0.023951200000000002,3.375,-0.0724906
284,1.60815,0.185,-0.023569,3.375,-0.0721084
285,1.61304,0.195,-0.022932,2.875,-0.071981
286,1.618045,0.2,-0.022295000000000002,1.75,-0.0718536
287,1.62305,0.2,-0.022167600000000003,0.625,-0.0718536
288,1.62815,0.195,-0.022295000000000002,-0.625,-0.0718536
289,1.63304,0.19,-0.0228046,-1.125,-0.071981
290,1.638045,0.185,-0.0231868,-1.125,-0.071981
291,1.64304,0.19,-0.023823800000000003,0.0,-0.0721084
292,1.64815,0.19,-0.024206000000000002,0.625,-0.0721084
293,1.65305,0.185,-0.0244608,-0.625,-0.0721084
294,1.65805,0.165,-0.0247156,-2.25,-0.0722358
295,1.663045,0.15,-0.0247156,-3.375,-0.072618
296,1.668265,0.135,-0.0247156,-2.875,-0.0728728
